"filename", "language", "HTML", "JavaScript", "JSON", "PostCSS", "XML", "Handlebars", "Markdown", "comment", "blank", "total"
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\lib\socket.io.esm.min.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 7, 0, 8
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mainMenu\lobby.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mainMenu\mainMenu.mjs", "JavaScript", 0, 182, 0, 0, 0, 0, 0, 22, 28, 232
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mainMenu\menuItems.mjs", "JavaScript", 0, 153, 0, 0, 0, 0, 0, 0, 0, 153
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mentat\directory.mjs", "JavaScript", 0, 7, 0, 0, 0, 0, 0, 0, 6, 13
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mentat\houses.mjs", "JavaScript", 0, 69, 0, 0, 0, 0, 0, 1, 3, 73
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mentat\thufir.mjs", "JavaScript", 0, 79, 0, 0, 0, 0, 0, 13, 7, 99
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\mentat\tooltips.mjs", "JavaScript", 0, 9, 0, 0, 0, 0, 0, 0, 0, 9
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\net\SessionState.mjs", "JavaScript", 0, 109, 0, 0, 0, 0, 0, 7, 15, 131
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\net\SocketClient.mjs", "JavaScript", 0, 135, 0, 0, 0, 0, 0, 17, 18, 170
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\preload.cjs", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\preload.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 1, 1, 20
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\rendererFunctions.mjs", "JavaScript", 0, 179, 0, 0, 0, 0, 0, 22, 13, 214
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\rendererHub.mjs", "JavaScript", 0, 61, 0, 0, 0, 0, 0, 32, 11, 104
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\assets\doubleRing.svg", "XML", 0, 0, 0, 0, 9, 0, 0, 0, 0, 9
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\chat.hbs", "Handlebars", 0, 0, 0, 0, 0, 3, 0, 0, 0, 3
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\gameCanvas.hbs", "Handlebars", 0, 0, 0, 0, 0, 1, 0, 0, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\gameUi.hbs", "Handlebars", 0, 0, 0, 0, 0, 4, 0, 0, 0, 4
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\inGameMenu.hbs", "Handlebars", 0, 0, 0, 0, 0, 11, 0, 0, 0, 11
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\lobby.hbs", "Handlebars", 0, 0, 0, 0, 0, 80, 0, 48, 0, 128
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\mentatLobby.hbs", "Handlebars", 0, 0, 0, 0, 0, 7, 0, 0, 2, 9
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\hbs\menuBody.hbs", "Handlebars", 0, 0, 0, 0, 0, 33, 0, 0, 0, 33
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\layout.html", "HTML", 21, 0, 0, 0, 0, 0, 0, 5, 0, 26
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\splash.html", "HTML", 15, 0, 0, 0, 0, 0, 0, 0, 0, 15
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\all.css", "PostCSS", 0, 0, 0, 3110, 0, 0, 0, 6, 1501, 4617
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\all.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\brands.css", "PostCSS", 0, 0, 0, 10, 0, 0, 0, 4, 2, 16
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\brands.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\fontawesome.css", "PostCSS", 0, 0, 0, 3079, 0, 0, 0, 6, 1498, 4583
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\fontawesome.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\regular.css", "PostCSS", 0, 0, 0, 10, 0, 0, 0, 4, 2, 16
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\regular.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\solid.css", "PostCSS", 0, 0, 0, 11, 0, 0, 0, 4, 2, 17
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\solid.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\svg-with-js.css", "PostCSS", 0, 0, 0, 312, 0, 0, 0, 4, 56, 372
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\svg-with-js.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\v4-shims.css", "PostCSS", 0, 0, 0, 1556, 0, 0, 0, 4, 613, 2173
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\css\v4-shims.min.css", "PostCSS", 0, 0, 0, 1, 0, 0, 0, 4, 0, 5
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\webfonts\fa-brands-400.svg", "XML", 0, 0, 0, 0, 3717, 0, 0, 0, 1, 3718
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\webfonts\fa-regular-400.svg", "XML", 0, 0, 0, 0, 801, 0, 0, 0, 1, 802
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\fa\webfonts\fa-solid-900.svg", "XML", 0, 0, 0, 0, 5034, 0, 0, 0, 1, 5035
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\main.css", "PostCSS", 0, 0, 0, 994, 0, 0, 0, 180, 198, 1372
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\main_input.css", "PostCSS", 0, 0, 0, 121, 0, 0, 0, 6, 18, 145
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\mainmenu.css", "PostCSS", 0, 0, 0, 162, 0, 0, 0, 10, 37, 209
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\mentat.css", "PostCSS", 0, 0, 0, 32, 0, 0, 0, 1, 9, 42
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\templates\styles\ui.css", "PostCSS", 0, 0, 0, 49, 0, 0, 0, 9, 23, 81
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\client\ui\ui.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 2, 3, 17
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\config\defaultUserSettings.json", "JSON", 0, 0, 18, 0, 0, 0, 0, 0, 0, 18
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\config\userSettings.json", "JSON", 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\main.cjs", "JavaScript", 0, 2, 0, 0, 0, 0, 0, 0, 0, 2
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\main.mjs", "JavaScript", 0, 102, 0, 0, 0, 0, 0, 4, 10, 116
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\main\initLoader.mjs", "JavaScript", 0, 83, 0, 0, 0, 0, 0, 2, 3, 88
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\main\mainFunctions.mjs", "JavaScript", 0, 95, 0, 0, 0, 0, 0, 18, 10, 123
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\main\mainHub.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 6, 3, 27
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\chat\chatHub.mjs", "JavaScript", 0, 16, 0, 0, 0, 0, 0, 1, 1, 18
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\CardDeckController.mjs", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\DuneCore.mjs", "JavaScript", 0, 46, 0, 0, 0, 0, 0, 2, 15, 63
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\DuneMap.mjs", "JavaScript", 0, 77, 0, 0, 0, 0, 0, 0, 7, 84
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\HouseList.mjs", "JavaScript", 0, 25, 0, 0, 0, 0, 0, 11, 11, 47
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\RoundController.mjs", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 4, 10, 38
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\abstract\Battle.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\abstract\GameRound.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\abstract\House.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\real\board.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\real\cards.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\real\territory.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\models\real\tokens.mjs", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 1, 0, 1
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rounds\Round.mjs", "JavaScript", 0, 62, 0, 0, 0, 0, 0, 4, 7, 73
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\Ruleset.mjs", "JavaScript", 0, 37, 0, 0, 0, 0, 0, 2, 3, 42
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\decks\CardDeck.mjs", "JavaScript", 0, 53, 0, 0, 0, 0, 0, 2, 7, 62
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\decks\defaultDecks.mjs", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 1, 8
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\decks\spice_default.mjs", "JavaScript", 0, 120, 0, 0, 0, 0, 0, 0, 0, 120
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\decks\treachery_default.mjs", "JavaScript", 0, 152, 0, 0, 0, 0, 0, 0, 0, 152
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\houses\House.mjs", "JavaScript", 0, 20, 0, 0, 0, 0, 0, 0, 2, 22
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\houses\defaultHouses.mjs", "JavaScript", 0, 130, 0, 0, 0, 0, 0, 3, 3, 136
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\list.mjs", "JavaScript", 0, 18, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\core\rulesets\ruleset_default.mjs", "JavaScript", 0, 22, 0, 0, 0, 0, 0, 1, 1, 24
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\net\Lobby.mjs", "JavaScript", 0, 235, 0, 0, 0, 0, 0, 18, 26, 279
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\net\SocketServer.mjs", "JavaScript", 0, 230, 0, 0, 0, 0, 0, 32, 22, 284
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\net\localServer.mjs", "JavaScript", 0, 24, 0, 0, 0, 0, 0, 4, 3, 31
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\net\promiseUpnp.mjs", "JavaScript", 0, 101, 0, 0, 0, 0, 0, 4, 8, 113
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\serverFunctions.mjs", "JavaScript", 0, 93, 0, 0, 0, 0, 0, 28, 13, 134
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\server\serverHub.mjs", "JavaScript", 0, 44, 0, 0, 0, 0, 0, 8, 10, 62
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\shared\Colours.mjs", "JavaScript", 0, 57, 0, 0, 0, 0, 0, 10, 7, 74
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\shared\DebugLogger.mjs", "JavaScript", 0, 45, 0, 0, 0, 0, 0, 14, 3, 62
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\shared\EventHub.mjs", "JavaScript", 0, 66, 0, 0, 0, 0, 0, 7, 10, 83
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\shared\helpers.mjs", "JavaScript", 0, 197, 0, 0, 0, 0, 0, 40, 15, 252
"c:\Users\Oosh\Documents\GitHub\dunePrototype\src\shared\nodeHelpers.mjs", "JavaScript", 0, 36, 0, 0, 0, 0, 0, 10, 6, 52
"c:\Users\Oosh\Documents\GitHub\dunePrototype\tailwind.config.cjs", "JavaScript", 0, 33, 0, 0, 0, 0, 0, 0, 1, 34
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test.html", "HTML", 83, 0, 0, 0, 0, 0, 0, 0, 0, 83
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test.js", "JavaScript", 0, 12, 0, 0, 0, 0, 0, 0, 5, 17
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test1.mjs", "JavaScript", 0, 21, 0, 0, 0, 0, 0, 0, 3, 24
"c:\Users\Oosh\Documents\GitHub\dunePrototype\test2.html", "HTML", 45, 0, 0, 0, 0, 0, 0, 0, 0, 45
"Total", "-", 164, 29499, 10423, 9453, 9561, 139, 2, 19570, 5659, 84470
